Countries,CountriesEdu,EduLevel ,Sfin,Sacc,Sjob,SCT,STU,SRGreen,SLEnv,SPRelat,Slifemean
Belgium,Bel1,1,6.4,7.6,7.5,7.7,7.3,7.0,7.4,7.5,7.4
Bulgaria,Bul1,1,2.8,5.2,4.8,5.2,5.5,4.7,4.7,4.9,5.4
Czechia,Cze1,1,5.1,7.3,6.4,7.1,7.1,7.3,7.3,8.0,7.0
Denmark,Den1,1,7.6,8.5,8.4,8.6,8.3,8.3,8.2,8.8,8.2
Germany ,Ger1,1,5.8,7.2,6.8,7.2,6.8,7.3,7.3,7.7,7.0
Estonia,Est1,1,5.0,6.9,7.1,7.0,6.9,7.0,6.6,7.5,7.1
Ireland,Ire1,1,5.4,8.1,7.3,8.3,7.3,7.5,8.0,8.5,7.6
Greece,Gre1,1,4.0,6.3,5.4,6.6,6.0,6.2,6.4,6.8,6.3
Spain,Spa1,1,5.4,7.2,6.8,7.2,6.8,6.6,7.1,7.7,7.4
France,Fra1,1,6.1,7.5,7.1,7.5,7.4,7.0,7.4,7.8,6.9
Croatia,Cro1,1,3.8,6.2,6.0,6.4,6.3,5.0,5.3,6.7,6.4
Italy,Ita1,1,5.3,7.1,6.7,6.9,6.4,6.0,5.7,7.2,7.0
Cyprus,Cyp1,1,4.9,7.5,6.8,7.0,6.9,5.8,5.6,7.9,6.9
Latvia,Lat1,1,4.6,6.3,6.9,6.9,7.0,7.5,7.1,7.8,7.1
Lithuania,Lit1,1,5.4,7.2,6.6,7.5,6.8,7.3,7.5,7.8,6.9
Luxembourg,Lux1,1,6.4,7.6,7.5,7.4,7.3,7.7,7.7,8.0,8.0
Hungary,Hun1,1,4.4,6.2,6.2,6.7,6.1,5.8,6.1,7.3,6.4
Malta,Mal1,1,5.7,7.8,7.3,6.6,6.8,6.6,7.1,8.4,7.9
Netherlands,Net1,1,7.2,8.1,7.6,8.0,7.6,7.9,8.0,8.2,7.7
Austria,Aus1,1,6.5,8.1,7.7,7.7,7.5,8.1,8.2,8.5,7.6
Poland,Pol1,1,5.1,7.0,6.9,7.4,7.3,7.6,7.2,7.9,7.3
Portugal,Por1,1,4.2,7.2,7.0,7.5,6.6,6.0,6.2,7.9,7.4
Romania,Rom1,1,5.5,7.1,6.0,6.1,6.4,6.7,7.4,7.3,7.0
Slovenia,Slo1,1,4.6,7.2,6.8,7.3,6.7,7.8,7.1,8.3,7.5
Slovakia,Slk1,1,4.9,7.3,6.5,7.0,7.5,6.9,6.9,7.7,7.3
Finland,Fin1,1,7.4,8.4,8.1,8.1,8.1,8.1,7.7,8.3,7.9
Sweden,Swe1,1,7.5,8.5,8.0,8.0,7.9,8.5,7.5,8.4,7.7
UK,Uni1,1,6.2,8.2,6.6,7.2,7.3,7.4,7.7,8.3,7.5
Iceland,Ice1,1,6.4,8.2,7.9,8.3,7.7,7.9,7.3,8.2,8.1
Norway,Nor1,1,7.2,8.1,8.3,8.4,7.5,8.4,8.4,8.5,7.8
Switzerland,Swi1,1,7.3,8.4,8.0,8.2,7.4,8.2,7.9,8.8,7.7
Serbia,Ser1,1,3.4,5.7,5.0,6.2,6.0,5.1,4.4,8.1,6.5
